value;areas;bedrooms;spaces;bathrooms
134990.0;32.0;1.0;0.0;1.0
222000.0;46.0;2.0;1.0;1.0
682500.0;67.0;2.0;1.0;
6500000.0;1000.0;6.0;4.0;8.0
2600000.0;592.0;4.0;10.0;6.0
1500000.0;281.0;5.0;4.0;5.0
650000.0;130.0;2.0;4.0;4.0
370000.0;158.0;3.0;2.0;2.0
2900000.0;600.0;6.0;12.0;7.0
1200000.0;260.0;4.0;4.0;4.0
1600000.0;390.0;5.0;4.0;6.0
399000.0;116.0;4.0;4.0;3.0
3000000.0;600.0;6.0;10.0;
385000.0;100.0;3.0;2.0;3.0
1800000.0;352.0;4.0;4.0;7.0
2400000.0;500.0;6.0;8.0;8.0
380000.0;110.0;2.0;3.0;1.0
450000.0;188.0;3.0;2.0;3.0
409000.0;112.0;3.0;2.0;3.0
388800.0;120.0;3.0;3.0;3.0
260000.0;71.0;2.0;1.0;2.0
410000.0;120.0;3.0;3.0;3.0
5500000.0;1000.0;6.0;15.0;8.0
1600000.0;400.0;6.0;6.0;7.0
975000.0;204.0;4.0;2.0;4.0
310000.0;81.0;3.0;2.0;2.0
375000.0;66.0;2.0;1.0;2.0
180000.0;53.0;2.0;1.0;1.0
4500000.0;460.0;6.0;6.0;6.0
13500000.0;800.0;6.0;;8.0
750000.0;250.0;4.0;5.0;5.0
250000.0;60.0;3.0;;3.0
360000.0;112.0;3.0;1.0;2.0
16000000.0;818.0;10.0;4.0;14.0
960000.0;225.0;6.0;5.0;4.0
390000.0;110.0;3.0;3.0;3.0
530000.0;174.0;3.0;4.0;4.0
595000.0;250.0;3.0;4.0;4.0
780000.0;215.0;3.0;3.0;4.0
371000.0;89.0;2.0;2.0;2.0
380000.0;66.0;2.0;2.0;2.0
550000.0;190.0;3.0;4.0;3.0
540000.0;283.0;4.0;5.0;5.0
385000.0;105.0;3.0;2.0;3.0
360000.0;185.0;3.0;5.0;2.0
420000.0;140.0;5.0;4.0;5.0
900000.0;600.0;4.0;5.0;4.0
2800000.0;421.0;5.0;4.0;5.0
139900.0;46.0;2.0;2.0;1.0
202900.0;47.0;2.0;1.0;1.0
538000.0;127.0;3.0;3.0;3.0
180000.0;53.0;2.0;1.0;1.0
16000000.0;818.0;10.0;4.0;14.0
18000000.0;1600.0;8.0;4.0;10.0
220000.0;90.0;2.0;11.0;2.0
880000.0;600.0;4.0;5.0;4.0
1200000.0;177.0;4.0;4.0;3.0
220000.0;117.0;2.0;1.0;2.0
2500000.0;345.0;5.0;6.0;6.0
580000.0;300.0;5.0;3.0;4.0
280000.0;97.0;3.0;1.0;2.0
190000.0;78.0;2.0;1.0;2.0
650000.0;190.0;3.0;2.0;4.0
1150000.0;200.0;4.0;4.0;4.0
435000.0;300.0;3.0;2.0;3.0
350000.0;89.0;2.0;2.0;2.0
620000.0;250.0;4.0;2.0;3.0
380000.0;85.0;3.0;2.0;2.0
880000.0;689.0;5.0;4.0;6.0
